Date/Time,Unit,Value,
9/11/2020, 11:45:01 AM,F,123.098
9/11/2020, 12:45:01 PM,F,126.689
9/11/2020, 1:45:01 PM,F,127.587
9/11/2020, 2:45:01 PM,F,113.218
9/11/2020, 3:45:01 PM,F,105.131
9/11/2020, 4:45:01 PM,F,91.645
9/11/2020, 5:45:01 PM,F,82.649
9/11/2020, 6:45:01 PM,F,73.649
9/11/2020, 7:45:01 PM,F,61.943
9/11/2020, 8:45:01 PM,F,58.339
9/11/2020, 9:45:01 PM,F,55.636
9/11/2020, 10:45:01 PM,F,53.834
9/11/2020, 11:45:01 PM,F,52.032
9/12/2020, 12:45:01 AM,F,51.131
9/12/2020, 1:45:01 AM,F,50.229
9/12/2020, 2:45:01 AM,F,50.229
9/12/2020, 3:45:01 AM,F,49.328
9/12/2020, 4:45:01 AM,F,48.427
9/12/2020, 5:45:01 AM,F,48.427
9/12/2020, 6:45:01 AM,F,50.229
9/12/2020, 7:45:01 AM,F,57.438
9/12/2020, 8:45:01 AM,F,71.849
9/12/2020, 9:45:01 AM,F,88.947
9/12/2020, 10:45:01 AM,F,102.435
9/12/2020, 11:45:01 AM,F,115.015
9/12/2020, 12:45:01 PM,F,120.404
9/12/2020, 1:45:01 PM,F,121.302
9/12/2020, 2:45:01 PM,F,111.421
9/12/2020, 3:45:01 PM,F,107.827
9/12/2020, 4:45:01 PM,F,94.343
9/12/2020, 5:45:01 PM,F,83.549
9/12/2020, 6:45:01 PM,F,72.749
9/12/2020, 7:45:01 PM,F,62.844
9/12/2020, 8:45:01 PM,F,58.339
9/12/2020, 9:45:01 PM,F,55.636
9/12/2020, 10:45:01 PM,F,53.834
9/12/2020, 11:45:01 PM,F,52.933
9/13/2020, 12:45:01 AM,F,51.131
9/13/2020, 1:45:01 AM,F,51.131
9/13/2020, 2:45:01 AM,F,50.229
9/13/2020, 3:45:01 AM,F,52.032
9/13/2020, 4:45:01 AM,F,52.032
9/13/2020, 5:45:01 AM,F,52.032
9/13/2020, 6:45:01 AM,F,52.032
9/13/2020, 7:45:01 AM,F,66.446
9/13/2020, 8:45:01 AM,F,88.047
9/13/2020, 9:45:01 AM,F,106.929
9/13/2020, 10:45:01 AM,F,121.302
9/13/2020, 11:45:01 AM,F,123.098
9/13/2020, 12:45:01 PM,F,118.608
9/13/2020, 1:45:01 PM,F,122.2
9/13/2020, 2:45:01 PM,F,115.015
9/13/2020, 3:45:01 PM,F,110.523
9/13/2020, 4:45:01 PM,F,96.141
9/13/2020, 5:45:01 PM,F,83.549
9/13/2020, 6:45:01 PM,F,75.449
9/13/2020, 7:45:01 PM,F,65.545
9/13/2020, 8:45:01 PM,F,61.042
9/13/2020, 9:45:01 PM,F,57.438
9/13/2020, 10:45:01 PM,F,56.538
9/13/2020, 11:45:01 PM,F,54.735
9/14/2020, 12:45:01 AM,F,53.834
9/14/2020, 1:45:01 AM,F,52.032
9/14/2020, 2:45:01 AM,F,52.032
9/14/2020, 3:45:01 AM,F,52.933
9/14/2020, 4:45:01 AM,F,52.933
9/14/2020, 5:45:01 AM,F,52.933
9/14/2020, 6:45:01 AM,F,52.933
9/14/2020, 7:45:01 AM,F,65.545
9/14/2020, 8:45:01 AM,F,88.047
9/14/2020, 9:45:01 AM,F,110.523
9/14/2020, 10:45:01 AM,F,127.587
9/14/2020, 11:45:01 AM,F,124.894
9/14/2020, 12:45:01 PM,F,123.996
9/14/2020, 1:45:01 PM,F,126.689
