ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes
1397,MALA (White + Yellow),,,,14-May,y,,,,,,,
1398,HEWH (White),,,,14-May,y,,,,,,,
1399,RHOV (White + Pink),,,,14-May,y,,,,,,,
1400,SAAP (White + Green),,,,14-May,y,,,,,,,
1401,CEOL (Orange),,,,22-May,y,watered 2x,,,,,,
1402,RHOV (White + Pink),,,,22-May,y,,,,,,,
1403,MALA (White + Yellow),,,,14-May,y,,,,,,,
1404,HEAR,,,,6-May,y,,,,,,,
1405,RHOV (White + Pink),,,,14-May,y,,,,,,,
1406,CEOL (Orange),,,,14-May,y,,,,,,,
1407,HEAR,,,,6-May,y,,,,,,,
1408,RHOV (White + Pink),,,,,,,,,,,,
1409,HEAR,,,,6-May,y,,,,,,,
1410,HEAR,,,,6-May,y,,,,,,,
1411,HEAR,,,,6-May,y,,,,,,,
1412,RHOV (White + Pink),,,,14-May,y,,,,,,,
1413,RHOV (White + Pink),,,,14-May,y,,,,,,,
1414,RHOV (White + Pink),,,,14-May,y,,,,,,,
1415,HEAR,,,,6-May,N,,,,,,,
1416,HEAR,,,,6-May,Y,,,,,,,
1417,HEAR,,,,6-May,Y,,,,,,,
1418,ADFA (Orange + Green),,,,14-May,Y,,,,,,,
1419,SAAP (White + Green),,,,14-May,Y,,,,,,,
1420,HEAR,,,,6-May,N,gopher,,,,,,
1421,HEAR,,,,6-May,Y,,,,,,,
1422,HEAR,,,,7-May,Y,,,,,,,
1423,HEAR,,,,7-May,Y,,,,,,,
1424,HEAR,,,,6-May,N,,,,,,,
1425,HEAR,,,,6-May,Y,,,,,,,
1426,HEAR,,,,7-May,NP,,,,,,,
1427,HEAR,,,,7-May,Y,,,,,,,
1428,HEAR,,,,7-May,Y,,,,,,,
1429,HEAR,,,,7-May,Y,,,,,,,
1430,HEAR,,,,7-May,N,,,,,,,
1431,HEAR,,,,7-May,Y,,,,,,,
1432,HEAR,,,,8-May,Y,,,,,,,
1433,HEAR,,,,,,,,,,,,
1434,HEAR,,,,7-May,N,,,,,,,
1435,HEAR,,,,8-May,Y,,,,,,,
1436,HEAR,,,,,,,,,,,,
1437,HEAR,,,,7-May,Y,,,,,,,
1438,HEAR,,,,14-May,NP,,,,,,,
1439,HEAR,,,,14-May,Y,,,,,,,
1440,HEAR,,,,6-May,Y,,,,,,,
1441,HEAR,,,,,,,,,,,,
1442,HEAR,,,,7-May,NP,,,,,,,
1443,HEAR,,,,8-May,NP,,,,,,,
1444,HEAR,,,,8-May,Y,,,,,,,
1445,HEAR,,,,6-May,Y,,,,,,,
1446,HEAR,,,,7-May,Y,,,,,,,
1447,HEAR,,,,7-May,Y,,,,,,,
1448,HEAR,,,,7-May,Y,,,,,,,
1449,HEAR,,,,7-May,NP,,,,,,,
1450,HEAR,,,,7-May,Y,,,,,,,
1451,HEAR,,,,7-May,NP,GOPHER,,,,,,
1452,HEAR,,,,14-May,NP,GOPHER,,,,,,
1453,HEAR,,,,7-May,Y,,,,,,,
1454,HEAR,,,,6-May,Y,,,,,,,
1455,HEAR,,,,6-May,Y,,,,,,,
1456,HEAR,,,,6-May,Y,,,,,,,
1457,HEAR,,,,7-May,Y,,,,,,,
1458,HEAR,,,,8-May,Y,,,,,,,
1459,HEAR,,,,7-May,Y,,,,,,,
1460,HEAR,,,,7-May,Y,,,,,,,
1461,HEAR,,,,7-May,Y,,,,,,,
1462,ADFA,,,,7-May,Y,,,,,,,
1463,ADFA,,,,7-May,Y,,,,,,,
1464,ADFA,,,,14-May,Y,,,,,,,
1465,ADFA,,,,7-May,Y,,,,,,,
1466,ADFA,,,,7-May,Y,,,,,,,
1467,ADFA,,,,7-May,Y,,,,,,,
1468,ADFA,,,,6-May,Y,,,,,,,
1469,ADFA,,,,7-May,Y,,,,,,,
1470,ADFA,,,,7-May,Y,,,,,,,
1471,ADFA,,,,6-May,Y,,,,,,,
1472,ADFA,,,,6-May,Y,,,,,,,
1473,ADFA,,,,6-May,Y,,,,,,,
1474,ADFA,,,,6-May,Y,,,,,,,
1475,ADFA,,,,6-May,Y,,,,,,,
1476,ADFA,,,,6-May,Y,,,,,,,
1477,ADFA,,,,7-May,Y,,,,,,,
1478,HEAR,,,,13-May,Y,,,,,,,
1479,SANI,,,,6-May,Y,,,,,,,
1480,HEAR,,,,8-May,Y,,,,,,,
1481,HEAR,,,,22-May,N,,,,,,,
1482,HEAR,,,,15-May,Y,,,,,,,
1483,HEAR,,,,15-May,Y,,,,,,,
1484,HEAR,,,,15-May,Y,,,,,,,
1485,HEAR,,,,8-May,Y,,,,,,,
1486,HEAR,,,,7-May,Y,,,,,,,
1487,HEAR,,,,6-May,NP,,,,,,,
1488,HEAR,,,,7-May,N,,,,,,,
1489,HEAR,,,,,,,,,,,,
1490,HEAR,,,,,,,,,,,,
1491,HEAR,,,,7-May,NP,,,,,,,
1492,HEAR,,,,7-May,Y,,,,,,,
1493,HEAR,,,,6-May,Y,GOPHER ACTIVITY,,,,,,
1494,HEAR,,,,6-May,Y,,,,,,,
1495,HEAR,,,,7-May,y,,,,,,,
1496,HEAR,,,,6-May,Y,,,,,,,
1497,HEAR,,,,7-May,NP,,,,,,,
1498,HEAR,,,,6-May,N,,,,,,,
1499,HEAR,,,,7-May,NP,,,,,,,
1500,HEAR,,,,7-May,Y,,,,,,,
1501,SAME,,,,,,,,,,,,
1502,SANI,,,,6-May,Y,,,,,,,
1503,SAME,,,,6-May,Y,,,,,,,
1504,SAME,,,,6-May,Y,,,,,,,
1505,SANI,,,,6-May,Y,,,,,,,
1506,SANI,,,,6-May,Y,,,,,,,
1507,HEAR,,,,6-May,Y,,,,,,,
1508,HEAR,,,,7-May,Y,,,,,,,
1509,HEAR,,,,6-May,NP,,,,,,,
1510,HEAR,,,,22-May,Y,,,,,,,
1511,HEAR,,,,7-May,Y,,,,,,,
1512,HEAR,,,,8-May,NP,,,,,,,
1513,HEAR,,,,7-May,Y,,,,,,,
1514,HEAR,,,,13-May,Y,,,,,,,
1515,HEAR,,,,7-May,Y,,,,,,,
1516,SAME (Orange + Pink),,,,,,,,,,,,
1517,SAME,,,,13-May,Y,,,,,,,
1518,HEAR,,,,8-May,Y,,,,,,,
1519,HEAR,,,,6-May,Y,,,,,,,
1520,HEAR,,,,6-May,Y,,,,,,,
1521,HEAR,,,,,,,,,,,,
1522,HEAR,,,,8-May,NP,,,,,,,
1523,HEAR,,,,13-May,Y,,,,,,,
1524,HEAR,,,,13-May,Y,,,,,,,
1525,HEAR,,,,8-May,Y,,,,,,,
1526,HEAR,,,,,,,,,,,,
1527,HEAR,,,,8-May,Y,,,,,,,
1528,HEAR,,,,13-May,Y,,,,,,,
1529,HEAR,,,,13-May,N,,,,,,,
1530,HEAR,,,,14-May,Y,,,,,,,
1531,SANI,,,,7-May,Y,,,,,,,
1532,SAME,,,,7-May,Y,,,,,,,
1533,SANI ,,,,6-May,Y,,,,,,,
1534,SANI,,,,7-May,Y,,,,,,,
1535,HEAR,,,,14-May,NP,,,,,,,
1536,HEAR,,,,14-May,NP,,,,,,,
1537,HEAR,,,,14-May,Y,,,,,,,
1538,HEAR,,,,13-May,Y,GOPHER,,,,,,
1539,HEAR,,,,14-May,Y,,,,,,,
1540,SANI,,,,7-May,Y,,,,,,,
1541,SANI,,,,8-May,Y,,,,,,,
1542,SAME,,,,7-May,Y,,,,,,,
1543,SAME,,,,6-May,Y,,,,,,,
1544,SANI,,,,7-May,Y,,,,,,,
1545,SAME,,,,6-May,Y,,,,,,,
1546,SAME,,,,6-May,Y,,,,,,,
1547,SANI,,,,7-May,Y,,,,,,,
1548,SANI,,,,6-May,Y,,,,,,,
1549,SAME,,,,6-May,Y,,,,,,,
1550,SANI,,,,22-May,Y,,,,,,,
1551,SANI,,,,6-May,Y,,,,,,,
1552,SANI,,,,8-May,Y,,,,,,,
1553,SANI,,,,8-May,Y,,,,,,,
1554,SAME,,,,8-May,Y,,,,,,,
1555,SAME,,,,8-May,Y,,,,,,,
1556,SAME,,,,13-May,NP,,,,,,,
1557,SANI,,,,13-May,Y,,,,,,,
1558,SAME,,,,13-May,Y,,,,,,,
1559,SANI,,,,13-May,Y,,,,,,,
1560,SANI,,,,13-May,Y,,,,,,,
1561,SANI,,,,13-May,Y,,,,,,,
1562,SAME,,,,13-May,Y,,,,,,,
1563,SANI,,,,13-May,NP,,,,,,,
1564,SANI,,,,14-May,NP,,,,,,,
1565,SAME,,,,14-May,NP,,,,,,,
1566,SANI,,,,14-May,NP,,,,,,,
1567,SAME,,,,14-May,Y,,,,,,,
1568,SANI,,,,14-May,Y,,,,,,,
1569,SANI,,,,14-May,Y,,,,,,,
1570,SAME,,,,7-May,Y,,,,,,,
1571,SANI,,,,14-May,Y,,,,,,,
1572,SAME,,,,13-May,N,,,,,,,
1573,SANI,,,,13-May,NP,,,,,,,
1574,SANI,,,,6-May,Y,,,,,,,
1575,SAME,,,,7-May,Y,,,,,,,
1576,SANI,,,,22-May,Y,,,,,,,
1577,SANI,,,,7-May,Y,,,,,,,
1578,SANI,,,,7-May,NP,,,,,,,
1579,SANI,,,,7-May,Y,,,,,,,
1580,SAME,,,,7-May,Y,,,,,,,
1581,SANI,,,,7-May,Y,,,,,,,
1582,SAME,,,,22-May,Y,,,,,,,
1583,SAME,,,,6-May,Y,,,,,,,
1584,SAME,,,,6-May,Y,,,,,,,
1585,SANI,,,,6-May,Y,,,,,,,
1586,SANI,,,,6-May,Y,,,,,,,
1587,SANI,,,,6-May,Y,,,,,,,
1588,SAME,,,,14-May,Y,,,,,,,
1589,SANI,,,,8-May,Y,,,,,,,
1590,HEAR,,,,15-May,Y,,,,,,,
1591,HEAR,,,,15-May,NP,,,,,,,
1592,HEAR,,,,8-May,Y,5/15 np,,,,,,
1593,HEAR,,,,15-May,Y,,,,,,,
1594,SANI,,,,7-May,Y,,,,,,,
1595,SAME,,,,7-May,Y,,,,,,,
1596,SAME,,,,8-May,Y,,,,,,,
1597,SANI,,,,8-May,NP,,,,,,,
1598,SAME,,,,8-May,Y,,,,,,,
1599,SANI,,,,7-May,Y,,,,,,,
1600,SANI,,,,6-May,Y,,,,,,,
1601,SAME,,,,22-May,Y,,,,,,,
1602,SANI,,,,15-May,Y,,,,,,,
1603,SANI,,,,8-May,NP,,,,,,,
1604,SAME,,,,6-May,Y,,,,,,,
1605,HEAR,,,,15-May,Y,,,,,,,
1606,SAME,,,,8-May,Y,,,,,,,
1607,SANI,,,,7-May,Y,,,,,,,
1608,SAME,,,,7-May,Y,,,,,,,
1609,SANI,,,,8-May,Y,,,,,,,
1610,SAME,,,,8-May,Y,,,,,,,
1611,SANI,,,,8-May,Y,,,,,,,
1612,SAME,,,,7-May,Y,,,,,,,
1613,SANI,,,,8-May,Y,,,,,,,
1614,ADFA,,,,14-May,Y,,,,,,,
1615,SAME,,,,6-May,Y,,,,,,,
1616,SANI,,,,6-May,N,,,,,,,
1617,ADFA,,,,14-May,Y,,,,,,,
1618,HEAR,,,,15-May,Y,,,,,,,
1619,SANI,,,,6-May,NP,,,,,,,
1620,ADFA,,,,14-May,Y,,,,,,,
1621,ADFA,,,,13-May,Y,,,,,,,
1622,ADFA,,,,14-May,Y,,,,,,,
1623,ADFA,,,,14-May,Y,,,,,,,
1624,ADFA,,,,13-May,Y,,,,,,,
1625,ADFA,,,,13-May,Y,,,,,,,
1626,ADFA,,,,,,,,,,,,
1627,ADFA,,,,7-May,Y,,,,,,,
1628,ADFA,,,,6-May,Y,,,,,,,
1629,HEAR,,,,7-May,Y,,,,,,,
1630,ADFA,,,,7-May,Y,,,,,,,
1631,ADFA,,,,7-May,Y,,,,,,,
1632,ADFA,,,,8-May,Y,,,,,,,
1633,ADFA,,,,8-May,Y,,,,,,,
1634,HEAR,,,,6-May,Y,,,,,,,
1635,ADFA,,,,6-May,Y,FLOWERING,,,,,,
1636,ADFA,,,,,,,,,,,,
1637,ADFA,,,,6-May,N,,,,,,,
1638,HEAR,,,,15-May,Y,,,,,,,
1639,ADFA,,,,15-May,Y,,,,,,,
1640,SANI,,,,14-May,Y,,,,,,,
1641,ADFA,,,,15-May,Y,,,,,,,
1642,HEAR,,,,22-May,N,DEAD MATERIAL,,,,,,
1643,HEAR,,,,15-May,Y,,,,,,,
1644,ADFA,,,,7-May,Y,,,,,,,
1645,ADFA,,,,7-May,y,,,,,,,
1646,ADFA,,,,8-May,Y,,,,,,,
1647,SAME,,,,8-May,Y,,,,,,,
1648,SANI,,,,14-May,Y,,,,,,,
1649,SAME,,,,14-May,Y,,,,,,,
1650,SANI,,,,14-May,Y,,,,,,,
1651,SAME,,,,8-May,Y,,,,,,,
1652,SANI,,,,7-May,NP,,,,,,,
1653,SAME,,,,7-May,Y,,,,,,,
1654,SANI,,,,8-May,Y,,,,,,,
1655,SAME,,,,15-May,Y,,,,,,,
1656,SAME,,,,6-May,Y,,,,,,,
1657,SANI,,,,6-May,Y,,,,,,,
1658,SANI,,,,22-May,Y,,,,,,,
1659,SAME,,,,6-May,Y,,,,,,,
1660,SAME,,,,,,,,,,,,
1661,SAME,,,,8-May,Y,,,,,,,
1662,SAME,,,,7-May,Y,,,,,,,
1663,SANI,,,,7-May,Y,,,,,,,
1664,SANI,,,,15-May,Y,,,,,,,
1665,SANI,,,,6-May,Y,,,,,,,
1666,SAME,,,,6-May,Y,,,,,,,
