ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes
379,HEWH (White),,,np,7-May,y,,,,,,,
380,MALA (White + Yellow),,,,8-May,n,,,,,,,
381,SANI (Orange + Yellow),,,,8-May,y,,,,,,,
382,SAME (Orange + Pink),,,,8-May,y,,,,,,,
383,ENCA (Pink),11-Feb,Y,barely,8-May,y,,,,,,,
384,CEOL (Orange),,,np,8-May,y,,,,,,,
385,HEWH (White),11-Feb,Y,,8-May,y,,,,,,,
386,ADFA (Orange + Green),11-Feb,Y,,8-May,y,,,,,,,
387,ENCA (Pink),11-Feb,Y,wilty,8-May,y,,,,,,,
388,MALA (White + Yellow),,,,,,,,,,,,
389,SAAP (White + Green),,,,8-May,y,,,,,,,
390,ADFA (Orange + Green),,,np,8-May,y,,,,,,,
391,SAME (Orange + Pink),,,,8-May,np,,,,,,,
392,CEOL (Orange),,,np,8-May,y,,,,,,,
393,ENCA (Pink),,,np,8-May,y,,,,,,,
394,HEWH (White),11-Feb,Y,,8-May,y,,,,,,,
395,ENCA (Pink),11-Feb,Y,,8-May,y,,,,,,,
396,SANI (Orange + Yellow),,,,8-May,y,,,,,,,
397,MALA (White + Yellow),,,,8-May,n,,,,,,,
398,ENCA (Pink),11-Feb,Y,,8-May,y,,,,,,,
399,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
400,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
401,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
402,HEAR,,,,,,,,,,,,
403,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
404,CEOL (Orange),,,np,6-May,y,,,,,,,
405,ADFA (Orange + Green),11-Feb,Y,,,,,,,,,,
406,RHOV (White + Pink),,,np,6-May,y,,,,,,,
407,MALA (White + Yellow),,,,6-May,np,,,,,,,
408,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
409,CEOL (Orange),,,np,6-May,y,,,,,,,
410,CEOL (Orange),,,np,6-May,np,,,,,,,
411,SAME (Orange + Pink),,,,6-May,y,,,,,,,
412,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
413,RHOV (White + Pink),11-Feb,Y,,6-May,np,,,,,,,
414,HEAR,,,,8-May,y,,,,,,,
415,ENCA (Pink),,,np,8-May,y,,,,,,,
416,MALA (White + Yellow),,,,6-May,y,,,,,,,
417,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
418,ADFA (Orange + Green),11-Feb,Y,,8-May,y,,,,,,,
419,ENCA (Pink),11-Feb,Y,,6-May,y,flower,,,,,,
420,MALA (White + Yellow),,,,6-May,y,,,,,,,
421,CEOL (Orange),,,np,6-May,y,,,,,,,
422,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
423,SANI (Orange + Yellow),,,,6-May,y,,,,,,,
424,CEOL (Orange),,,np,8-May,y,,,,,,,
425,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
426,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
427,CEOL (Orange),,,np,6-May,y,,,,,,,
428,ENCA (Pink),11-Feb,Y,,6-May,y,,,,,,,
429,RHOV (White + Pink),11-Feb,Y,,6-May,y,,,,,,,
430,ADFA (Orange + Green),,,,8-May,y,,,,,,,
431,CEOL (Orange),,,np,6-May,y,,,,,,,
432,HEWH (White),11-Feb,Y,,6-May,y,,,,,,,
433,CEOL (Orange),,,np,6-May,np,,,,,,,
