"plot_number","Plant","july_height","date_measured","dead.x","date_measured_2","dead.y","fall_height"
622,"SANI",26.3,2020-06-24,0,2020-11-17,1,14.2
624,"HEWH",27.1,2020-06-24,0,2020-11-17,0,29.4
629,"HEWH",31.3,2020-06-24,0,2020-11-17,0,24
669,"ADFA",57.1,2020-06-24,0,2020-11-17,1,39.1
670,"SAME",6,2020-06-24,0,2020-11-17,0,10.5
673,"ADFA",52.1,2020-06-24,0,2020-11-17,0,52.8
678,"ADFA",51.3,2020-06-24,0,2020-11-17,1,45.5
702,"SANI",29.9,2020-06-24,0,2020-11-05,0,25.2
718,"SAAP",23.8,2020-06-24,0,2020-11-05,1,20.7
719,"RHOV",16.5,2020-06-24,0,2020-11-05,0,25.2
729,"HEWH",8.2,2020-06-24,0,2020-11-17,0,6
731,"HEWH",28.6,2020-06-24,0,2020-11-17,0,23
736,"ENCA",47.6,2020-06-24,0,2020-11-05,0,57.7
740,"RHOV",30.2,2020-06-24,0,2020-11-05,1,26.7
743,"RHOV",17.1,2020-06-24,0,2020-11-17,0,26.4
760,"ENCA",59.3,2020-06-24,0,2020-11-17,1,49.5
763,"SANI",24.1,2020-06-24,0,2020-11-17,0,6.9
765,"ADFA",41.1,2020-06-24,0,2020-11-17,0,38.2
768,"ADFA",40.1,2020-06-24,0,2020-11-17,1,26
771,"RHOV",27.6,2020-06-24,0,2020-11-17,0,57.8
772,"SAAP",16.2,2020-06-24,0,2020-11-17,0,5.5
773,"RHOV",26.2,2020-06-24,0,2020-11-17,0,29.3
779,"ADFA",36.2,2020-06-24,0,2020-11-17,1,28.3
786,"ADFA",42,2020-06-24,0,2020-11-17,1,39.1
794,"ADFA",54.3,2020-06-24,0,2020-11-17,1,46.3
798,"SAME",8.3,2020-06-24,0,2020-11-17,0,8.5
805,"ADFA",47.3,2020-06-24,0,2020-11-17,1,37
814,"ADFA",67.1,2020-06-24,0,2020-11-17,1,59.1
819,"ADFA",37.5,2020-06-05,0,2020-11-17,1,35.7
821,"HEWH",19.3,2020-06-05,0,2020-11-17,0,21.2
826,"ADFA",47.4,2020-06-24,0,2020-11-17,1,47.2
862,"SAME",19.2,2020-06-05,0,2020-11-17,1,15.4
863,"ENCA",31.5,2020-06-05,0,2020-11-17,0,41.2
864,"HEWH",29,2020-06-05,0,2020-11-17,0,24.5
869,"SAME",15,2020-06-05,0,2020-11-17,1,6.8
870,"HEWH",17.5,2020-06-05,0,2020-11-17,0,12.2
871,"HEWH",18.25,2020-06-05,0,2020-11-17,0,12.6
872,"SAAP",13.9,2020-06-05,0,2020-11-17,1,8.5
873,"ENCA",44.5,2020-06-05,0,2020-11-17,0,45
875,"SAME",39.5,2020-06-05,0,2020-11-17,0,23.6
876,"SAAP",20.2,2020-06-05,0,2020-11-17,1,21.3
881,"HEWH",23.5,2020-06-05,0,2020-11-17,0,19
883,"SAAP",26.25,2020-06-05,0,2020-11-17,0,19
886,"HEWH",25.6,2020-06-05,0,2020-11-17,0,22.6
906,"SAME",11.4,2020-06-25,0,2020-11-05,0,9.7
935,"RHOV",13.9,2020-06-05,0,2020-11-17,0,26.5
954,"RHOV",18.25,2020-06-05,0,2020-11-17,1,17
971,"CEOL",18.5,2020-06-05,0,2020-11-17,0,18.1
984,"HEWH",36.25,2020-06-05,0,2020-11-17,0,30.1
994,"ADFA",54.6,2020-06-05,0,2020-11-17,1,51.1
997,"ENCA",32.5,2020-06-05,0,2020-11-17,0,29.4
1001,"CEOL",40.6,2020-06-24,0,2020-10-27,0,62
1007,"ADFA",52.9,2020-06-25,0,2020-12-03,1,52.2
1009,"HEWH",42.5,2020-06-25,0,2020-11-19,0,41.5
1022,"CEOL",43.6,2020-06-26,0,2020-11-19,1,51.2
1025,"HEWH",21.4,2020-06-26,0,2020-11-19,0,22.4
1033,"CEOL",27.6,2020-06-25,0,2020-11-19,1,37.2
1040,"HEWH",28.9,2020-06-25,0,2020-11-19,0,30.2
1045,"ENCA",58.3,2020-06-25,0,2020-11-19,0,98.5
1046,"ENCA",32,2020-06-25,0,2020-11-19,1,20
1054,"HEWH",21.3,2020-06-25,0,2020-11-19,0,32.3
1064,"ADFA",67.3,2020-06-25,0,2020-11-19,0,66.1
1068,"HEWH",29.7,2020-06-26,0,2020-11-19,0,31.2
1079,"SAAP",17.9,2020-06-25,0,2020-11-19,0,16
1080,"ENCA",57.2,2020-06-25,0,2020-11-19,1,57.8
1084,"ENCA",64.7,2020-06-26,0,2020-11-19,0,73.2
1089,"SANI",44,2020-06-25,0,2020-11-19,1,45.5
1093,"ENCA",53.8,2020-06-25,0,2020-11-19,0,61.5
1096,"HEWH",23.2,2020-06-25,0,2020-11-19,0,28.4
1101,"RHOV",41.4,2020-06-25,0,2020-10-27,0,89.4
1103,"SAAP",40.2,2020-06-25,0,2020-11-19,1,37.5
1116,"HEWH",21.2,2020-06-25,0,2020-11-19,0,13
1139,"SAME",29,2020-06-26,0,2020-11-19,0,31.3
1140,"SAME",38.5,2020-06-26,0,2020-11-19,0,40
1141,"HEWH",24.4,2020-06-26,0,2020-11-19,0,20
1144,"HEWH",28,2020-06-26,0,2020-11-19,0,25.2
1149,"SANI",26,2020-06-26,0,2020-11-19,0,5.4
1153,"MALA",39.1,2020-06-26,0,2020-11-19,0,43.9
1155,"SAAP",32.1,2020-06-26,0,2020-11-19,1,31.3
1167,"HEWH",13.1,2020-06-26,0,2020-11-19,0,14.7
1180,"MALA",29.4,2020-06-26,0,2020-11-19,0,77.9
1182,"HEWH",21.2,2020-06-26,0,2020-11-19,0,16.3
1188,"CEOL",20,2020-06-26,0,2020-12-03,1,20.6
1198,"RHOV",28.6,2020-06-26,0,2020-11-19,0,59
1200,"ENCA",47.3,2020-06-26,0,2020-11-19,0,52
