"plot_number","Plant","start_date","start_time","end_date","end_time","dead","height","gopher"
372,"RHOV",2020-01-30,0,2020-06-25,147,0,12.7,1
373,"HEWH",2020-01-30,0,2020-06-25,147,0,19.9,1
374,"HEWH",2020-01-30,0,2020-06-25,147,0,22,0
375,"RHOV",2020-02-06,0,2020-06-25,140,0,15.5,0
376,"HEWH",2020-01-30,0,2020-06-25,147,1,7,0
377,"HEWH",2020-01-30,0,2020-06-25,147,0,18,0
378,"CEOL",2020-02-14,0,2020-06-25,132,1,26,0
379,"HEWH",2020-02-27,0,2020-06-25,119,0,24.3,0
380,"MALA",2020-02-13,0,2020-06-25,133,1,35.7,0
381,"SANI",2020-02-14,0,2020-06-25,132,0,9.9,0
382,"SAME",2020-02-27,0,2020-06-25,119,1,10,0
383,"ENCA",2020-02-01,0,2020-06-25,145,0,7,0
384,"CEOL",2020-02-14,0,2020-06-25,132,0,28.4,0
385,"HEWH",2020-01-30,0,2020-06-24,146,0,30.1,0
386,"ADFA",2020-02-01,0,2020-06-25,145,0,46.8,0
387,"ENCA",2020-02-01,0,2020-06-25,145,0,36,0
388,"MALA",2020-02-13,0,2020-06-25,133,1,41.1,0
389,"SAAP",2020-02-14,0,2020-06-25,132,1,14.9,0
390,"ADFA",2020-02-27,0,2020-06-25,119,0,59.5,0
391,"SAME",2020-02-20,0,2020-06-25,126,1,10.7,0
392,"CEOL",2020-02-14,0,2020-06-25,132,0,15.8,1
393,"ENCA",2020-02-27,0,2020-06-25,119,0,42.3,0
394,"HEWH",2020-01-30,0,2020-06-25,147,0,30,0
395,"ENCA",2020-03-19,0,2020-06-25,98,0,35.9,0
396,"SANI",2020-02-21,0,2020-06-25,125,0,14,1
397,"MALA",2020-02-14,0,2020-06-25,132,1,34.9,0
398,"ENCA",2020-01-30,0,2020-06-25,147,0,6,0
399,"RHOV",2020-02-01,0,2020-06-25,145,0,15.6,1
400,"RHOV",2020-01-30,0,2020-06-25,147,0,12.5,0
401,"SANI",2020-02-15,0,2020-06-24,130,0,13.6,0
403,"RHOV",2020-01-30,0,2020-06-25,147,1,9.289,0
404,"CEOL",2020-02-27,0,2020-06-25,119,1,20.6,0
405,"ADFA",2020-02-01,0,2020-06-25,145,1,60.4,0
406,"RHOV",2020-02-27,0,2020-06-25,119,0,15.1,0
407,"MALA",2020-02-14,0,2020-06-25,132,1,32.1,0
408,"HEWH",2020-02-01,0,2020-06-25,145,0,17.5,0
409,"CEOL",2020-02-15,0,2020-06-25,131,0,10.7,1
410,"CEOL",2020-02-14,0,2020-06-25,132,1,28.6,0
411,"SAME",2020-02-27,0,2020-06-25,119,0,9.4,1
412,"RHOV",2020-01-30,0,2020-06-25,147,1,11.591,0
