ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
218,HEWH (White),26.1,29.7,23.6,,24-Jun,
219,RHOV (White + Pink),23.8,12,9.8,0.49,24-Jun,
220,ENCA (Pink),13.1,6.5,5.3,0.35,24-Jun,
221,RHOV (White + Pink),,,,,24-Jun,"np, g"
222,SAAP (White + Green),,,,,24-Jun,dead
223,SAME (Orange + Pink),,,,,24-Jun,dead
224,CEOL (Orange),,,,,24-Jun,np
225,HEWH (White),,,,,24-Jun,np
226,ENCA (Pink),,,,,24-Jun,np
227,SAAP (White + Green),16.2,6.9,4.8,0.26,24-Jun,g.a.
228,CEOL (Orange),37.5,27.8,24.8,0.4,24-Jun,
229,SAME (Orange + Pink),,,,,24-Jun,"np, buried"
230,ADFA (Orange + Green),,,,,24-Jun,dead
231,SAME (Orange + Pink),,,,,24-Jun,np
232,RHOV (White + Pink),,,,,24-Jun,np
233,HEAR,,,,,24-Jun,"np, g"
234,MALA (White + Yellow),,,,,24-Jun,np
235,SAME (Orange + Pink),,,,,24-Jun,"np, g"
236,HEWH (White),,,,,24-Jun,dead
237,CEOL (Orange),,,,,24-Jun,"np, g"
238,MALA (White + Yellow),,,,,24-Jun,np
239,HEWH (White),,,,,24-Jun,np
240,ENCA (Pink),,,,,24-Jun,np
241,RHOV (White + Pink),35.9,19.9,11.1,0.55,24-Jun,
242,RHOV (White + Pink),12.2,8.7,7.8,0.31,24-Jun,
243,RHOV (White + Pink),,,,,24-Jun,"np, g"
244,RHOV (White + Pink),15.9,9.1,8.2,0.49,24-Jun,
245,CEOL (Orange),,,,,24-Jun,np
246,HEWH (White),28.2,26.8,16.9,,24-Jun,
247,CEOL (Orange),,,,,24-Jun,np
248,SAME (Orange + Pink),,,,,24-Jun,np
249,MALA (White + Yellow),,,,,24-Jun,np
250,ENCA (Pink),29.4,57.8,23.5,0.55,24-Jun,
251,ENCA (Pink),61.1,21,14.7,0.5,24-Jun,
252,CEOL (Orange),39.9,20,13.8,0.41,24-Jun,
253,RHOV (White + Pink),,,,,24-Jun,np
254,SAME (Orange + Pink),,,,,24-Jun,np
255,HEWH (White),18.6,17.1,7.8,,24-Jun,
256,SAME (Orange + Pink),42.5,17.8,17.3,0.9,24-Jun,
257,ADFA (Orange + Green),37,51.2,34.2,0.68,24-Jun,sad
258,ENCA (Pink),,,,,24-Jun,np
259,HEWH (White),15.9,16.2,9.3,,24-Jun,sad
260,ADFA (Orange + Green),,,,,24-Jun,dead
261,CEOL (Orange),,,,,24-Jun,dead
262,HEWH (White),,,,,24-Jun,np
263,SAME (Orange + Pink),20.5,10.9,10.5,0.36,24-Jun,
264,CEOL (Orange),,,,,24-Jun,np
265,ENCA (Pink),,,,,24-Jun,np
266,HEWH (White),,,,,24-Jun,np
267,SAAP (White + Green),,,,,24-Jun,np
268,CEOL (Orange),,,,,24-Jun,dead
269,HEWH (White),,,,,24-Jun,np
270,HEWH (White),,,,,24-Jun,np
271,CEOL (Orange),42.4,14.4,11.8,0.37,24-Jun,
272,RHOV (White + Pink),,,,,24-Jun,np
273,SAAP (White + Green),29.1,19,14.8,0.63,24-Jun,
274,SAAP (White + Green),24.2,31.2,15.8,1.1,24-Jun,
275,ENCA (Pink),,,,,24-Jun,"np, g"
276,CEOL (Orange),,,,,24-Jun,np
277,ENCA (Pink),27.1,18.8,17.6,0.58,24-Jun,
278,ENCA (Pink),,,,,24-Jun,np
279,SANI (Orange + Yellow),13,6.4,4.6,0.71,24-Jun,
280,RHOV (White + Pink),12,6.9,6.8,0.27,24-Jun,
281,SANI (Orange + Yellow),,,,,24-Jun,np
282,HEWH (White),30,49.7,40.6,,24-Jun,
283,SAAP (White + Green),26.2,18.8,10.2,0.54,24-Jun,
284,SANI (Orange + Yellow),22.4,8.9,6.9,0.5,24-Jun,
285,ENCA (Pink),52.7,42.3,14.9,0.8,24-Jun,
286,HEWH (White),27.5,39,14,,24-Jun,
287,MALA (White + Yellow),17.3,10.1,6.4,0.46,24-Jun,
288,CEOL (Orange),35.9,6.8,5.7,0.38,24-Jun,
289,RHOV (White + Pink),,,,,24-Jun,np
290,CEOL (Orange),23,8.2,6.3,0.39,24-Jun,
291,SAME (Orange + Pink),15.9,10.6,9.2,0.4,24-Jun,
292,RHOV (White + Pink),23.4,13,7.6,0.6,24-Jun,
293,SAME (Orange + Pink),40.9,14.9,10.9,0.4,24-Jun,
294,SAAP (White + Green),,,,,24-Jun,np
295,ENCA (Pink),28.8,27.1,8.2,0.42,24-Jun,
296,HEWH (White),,,,,24-Jun,np
