ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
410,CEOL (Orange),28.6,10.2,8.7,0.15,,2/14/20,
411,SAME (Orange + Pink),9.4,6.4,5.9,0.26,,2/27,
412,RHOV (White + Pink),11.591,9.985,5.902,0.475,,1/30/20,
413,RHOV (White + Pink),8.433,6.992,5.583,0.433,,1/30/20,
414,HEAR,17.8,17.9,11.4,0.4,,2/27,
415,ENCA (Pink),47.5,15.3,14.6,0.38,,2/27,
416,MALA (White + Yellow),35.5,18.4,17.4,0.25,,2/14/20,
417,RHOV (White + Pink),14.764,8.747,8.477,0.495,,1/30/20,
418,ADFA (Orange + Green),52.4,57.5,33.1,0.53,1 GAL ,2/1/20,
419,ENCA (Pink),39,15.5,10,0.4,,2/1/20,
420,MALA (White + Yellow),23.1,11.2,11.2,0.2,,2/14/20,
421,CEOL (Orange),17.6,8.5,8.1,0.1,,2/15/20,
422,ENCA (Pink),25.5,10.9,8.4,0.32,,2/1/20,
423,SANI (Orange + Yellow),18.1,18.8,15.7,0.05,,2/14/20,
424,CEOL (Orange),13.1,11.4,8.2,0.12,,2/15/20,
425,HEWH (White),10,20.3,11.2,,,2/1/20,
426,HEWH (White),6.8,23.7,9.5,,,2/1/20,
427,CEOL (Orange),15.5,7.6,7.5,0.1,,2/15/20,
428,ENCA (Pink),10,30.5,11.8,0.2,,2/1/20,
429,RHOV (White + Pink),8.241,6.974,6.916,0.528,,1/30/20,ants that bite 
430,ADFA (Orange + Green),53,45.8,27.2,0.78,1 GAL,2/27,
431,CEOL (Orange),,,,,,,already planted
432,HEWH (White),17.5,30,10,,,2/1/20,
433,CEOL (Orange),10,7.2,7.2,0.1,,2/20/20,
434,CEOL (Orange),5.6,6.4,5.4,0.8,,2/20/20,"Gopher, moved down hill"
435,HEAR,14.9,15,14.5,0.39,,2/28,
436,MALA (White + Yellow),32.2,14.4,13.1,1.9,,2/14/20,
437,MALA (White + Yellow),27,27.4,14.6,2,,2/14/20,
438,HEWH (White),14.4,30.4,17.2,,,2/20/20,
439,RHOV (White + Pink),11.5,7.5,7,0.38,,2/7/20,
440,HEWH (White),23,45,28,,,2/15/20,
441,SAAP (White + Green),16.2,18.7,15.9,0.1,,2/14/20,
442,HEWH (White),24.9,38.2,10.9,,,2/1/20,
443,ENCA (Pink),43.9,7.7,6.4,0.474,,2/1/20,
444,HEWH (White),12,30.5,11,,,2/1/20,
445,HEWH (White),14.5,31.5,29,,,2/1/20,
446,RHOV (White + Pink),15.2,8.6,8.1,0.401,,2/?,
447,ADFA (Orange + Green),58,64,32,1.548,2 GAL,2/15,
448,HEWH (White),8.4,9.1,2.4,,,2/?,
449,MALA (White + Yellow),38.1,13.4,12.8,0.45,,2/14,
450,SAME (Orange + Pink),10.9,5.7,4.4,0.2,,2/21,
451,ENCA (Pink),32.8,14.1,10.7,0.28,,2/15/20,
452,RHOV (White + Pink),14.1,10.4,13.6,0.43,,2/15,
453,CEOL (Orange),13.6,5.9,6.4,0.16,,2/15/20,
454,ENCA (Pink),7.8,3.7,3.4,0.456,,2/1/20,
455,ENCA (Pink),39.3,19.1,13.6,0.48,,3/19/20,replant
456,RHOV (White + Pink),10.6,8.7,7.3,0.43,,2/1/20,
457,SAAP (White + Green),28.4,20.3,17.5,0.6,,No date,
458,CEOL (Orange),14.4,8.4,7.7,0.15,,2/15/20,
459,HEWH (White),14.2,36.6,15.5,,,2/15,
460,RHOV (White + Pink),13.4,8.6,7.7,0.29,,3/27/20,replant
461,ENCA (Pink),34.1,8.5,7.4,0.25,,2/20,
462,CEOL (Orange),7.7,5.4,5.1,0.5,,2/20,
463,CEOL (Orange),22.1,10.4,8.7,0.28,,2/28,
464,ENCA (Pink),43.6,15.2,14.8,0.47,,3/19,replant
465,MALA (White + Yellow),21,10.5,12,0.29,,2/15/20,
466,SAAP (White + Green),10.9,13.5,11.4,0.1,,2/20,
467,RHOV (White + Pink),15.1,9.1,6,0.46,,2/7/20,
468,CEOL (Orange),12.2,7.2,6.7,0.26,,2/15/20,
469,ENCA (Pink),34.4,6.8,5.9,0.017,,2/7/20,
470,ENCA (Pink),12.3,7.9,4.3,0.015,,2/7/20,
471,RHOV (White + Pink),13.1,9,5.75,0.48,,2/7/20,
472,ENCA (Pink),14.6,33.8,18.25,0.44,,3/19,replant
473,RHOV (White + Pink),,,,,,,already planted
474,CEOL (Orange),12.1,6.8,6.6,0.12,,2/15/20,
475,HEWH (White),18.6,43.5,21,,,2/15/20,
476,ENCA (Pink),38.3,13.4,12.2,0.38,,2/15/20,
477,SAME (Orange + Pink),3.6,5.6,2.9,0.15,,3/2,
478,CEOL (Orange),12.7,8.4,3.6,0.1,,2/15,
479,SAAP (White + Green),11.5,12.7,7.8,0.1,,2/14/20,
480,RHOV (White + Pink),17.9,10.5,8.2,0.37,,2/20,
481,SANI (Orange + Yellow),13.2,15,7.9,0.3,,2/14/20,
482,RHOV (White + Pink),11.25,10,5,0.43,,2/7/20,
483,CEOL (Orange),16.8,8.3,5.3,0.11,,2/15/20,
484,SAME (Orange + Pink),5.5,5.1,3.6,0.17,,2/20,
485,HEWH (White),24,46.5,29,,,2/15,
486,ENCA (Pink),8,22,23,0.2,,2/15,
487,HEWH (White),26,38.2,35.3,,,2/15,
488,ADFA (Orange + Green),59,40,36,1.469,2 GAL,2/15,
489,SAAP (White + Green),9.1,10.7,8.1,0.2,,2/20,
490,SAAP (White + Green),12.8,8.3,6.2,0.1,,2/20,
491,MALA (White + Yellow),24.1,14.6,10.8,0.2,,2/15/20,
492,CEOL (Orange),9.2,7.5,5.1,0.15,,2/7/20,
493,ENCA (Pink),35.7,6.8,5.3,0.35,,2/7/20,
494,HEWH (White),20.5,42.5,23.8,,,2/15,
495,SAAP (White + Green),10.9,31,12.2,0.32,,2/15,
496,HEWH (White),23.5,45,16.8,,,2/15,
497,CEOL (Orange),12.2,8.2,7.6,0.1,,2/15/20,
498,MALA (White + Yellow),28.1,15.5,14,0.3,,2/15/20,
499,SAME (Orange + Pink),3.8,3.8,3.2,0.13,,2/27,
500,CEOL (Orange),,,,,,,already planted
501,CEOL (Orange),22.9,12.2,10.7,0.26,,2/14,
502,SANI (Orange + Yellow),9.1,13.2,9.8,0.31,,2/14,
503,RHOV (White + Pink),10.2,7.2,6.1,0.44,,1/30/2020,
504,SAME (Orange + Pink),12.8,8.9,6.5,0.29,,2/20,
505,SAAP (White + Green),18.3,17.5,15.2,0.3,,2/15,
506,CEOL (Orange),21,10.3,9.9,0.28,,2/14,
507,RHOV (White + Pink),13.8,10.1,7.2,0.43,,1/30/2020,
508,CEOL (Orange),31.1,9.2,8.5,0.27,,2/14,
509,HEAR,15.8,18.4,13.4,0.39,,2/27,big hole
510,ENCA (Pink),17,32,12,,,2/1/20,gopher activity 
511,HEWH (White),17.9,22.6,22.4,,,1/30/2020,
512,ENCA (Pink),19,30,12,,,2/1/20,
513,SANI (Orange + Yellow),8.5,9.8,7.7,0.32,,2/14,
514,RHOV SAAP (White + Pink),27.4,15.8,15.2,0.39,,2/15,
515,HEWH (White),15,33,16,,,2/1/20,
516,SAAP (White + Green),10.6,10,5.2,0.24,,2/27,
517,RHOV (White + Pink),13.5,10,9.25,0.56,,2/21,
518,HEWH (White),18.7,24.3,12.1,,,2/1/20,
519,CEOL (Orange),18.9,15.8,7,0.26,,2/5/20,
520,SAME (Orange + Pink),18.2,9.9,4.1,0.31,,2/27,
521,ENCA (Pink),9.5,4.8,3.9,,,2/1/20,
522,RHOV (White + Pink),9.5,7.98,7.75,0.42,,2/1/20,planted in biting ant colony 
523,ENCA (Pink),18.9,7.4,5.4,0.21,,2/1/20,
524,CEOL (Orange),,,,,,,already planted
525,HEWH (White),27.6,29.8,17,,,2/1/20,
526,CEOL (Orange),20,10.4,8.7,0.16,,2/5/20,
527,RHOV (White + Pink),9.7,8.5,5.5,0.34,,2/1/20,
528,CEOL (Orange),31.7,14.4,7.9,0.22,,,
529,CEOL (Orange),24.5,11,9.1,0.19,,2/5/20,
530,SANI (Orange + Yellow),8.6,14.3,10,0.29,,2/14,
531,MALA (White + Yellow),42.3,24.6,16.3,0.39,,2/14,
532,CEOL (Orange),27.9,8.9,8.7,0.25,,2/5/20,
533,RHOV (White + Pink),13.4,9.8,7.2,0.47,,1/30/20,
534,RHOV (White + Pink),11.2,7.1,8.2,0.62,,1/30/20,
535,SAME (Orange + Pink),11.1,4.9,4.4,0.26,,2/27,
536,RHOV (White + Pink),11.6,9.55,7.24,0.56,,1/30/20,
537,SAME (Orange + Pink),11.5,6.5,4,0.28,,2/27,
538,CEOL (Orange),18.6,10.1,9.9,0.28,,2/14,
539,RHOV (White + Pink),15.4,8.8,7.4,0.5,,1/30/20,
540,MALA (White + Yellow),39.2,12.8,12.2,0.36,,2/14,
541,CEOL (Orange),12,7.8,6.9,0.21,,2/14,
542,CEOL (Orange),6.5,5.6,4.4,0.13,,2/27,
543,RHOV (White + Pink),15.4,8.8,7.4,0.5,,1/30/20,
544,HEWH (White),18.4,39.8,7.3,,,1/30/20,
545,SAAP (White + Green),12.2,14,13.4,0.39,,2/27,
546,RHOV (White + Pink),21.4,10,8.8,0.49,,1/30/20,
547,ENCA (Pink),21.8,15.2,9.2,0.28,,2/27,
548,ADFA (Orange + Green),55.5,37,34,2.83,2 GAL,2/4/20,
549,CEOL (Orange),23.4,11.2,10.9,0.24,,2/14,
550,ENCA (Pink),7,7.25,4.5,0.35,,2/1/20,
551,SANI (Orange + Yellow),10.2,21.9,17.8,0.31,,2/14,
552,HEWH (White),17.6,32.2,15.2,,,2/1/20,
553,CEOL (Orange),23.4,9.3,7.8,0.28,,2/14,
554,HEWH (White),18.4,22.6,6.7,,,2/1/20,
555,ENCA (Pink),33.4,16,11,0.35,,2/1/20,
556,MALA (White + Yellow),42.4,19,16.3,0.46,,2/14,
557,HEWH (White),23,53.5,21,,,2/1/20,
558,ADFA (Orange + Green),45,47,38,0.58,1 GAL,2/4/20,
559,MALA (White + Yellow),30.6,14.6,9.2,0.38,,2/14,
560,CEOL (Orange),13.2,6,4.9,0.19,,2/27,
561,CEOL (Orange),7.6,5.9,5.3,0.17,,2/27,
562,ENCA (Pink),35.6,6.8,6.2,0.35,,2/5/20,
563,HEWH (White),31.4,57.8,28.8,,,2/5/20,
564,HEWH (White),30.8,35.4,5.6,,,2/5/20,
565,HEWH (White),15.3,24.3,20.3,,,2/5/20,
566,CEOL (Orange),6.4,5.5,6.4,0.19,,2/27,
567,ENCA (Pink),33.3,27.2,10.2,0.37,,2/27,
568,ADFA (Orange + Green),48.1,49.5,39.4,1.2,2 GAL ,2/27,
569,HEWH (White),18,36.5,33.2,,,2/27,
570,ENCA (Pink),38.2,15.4,12.4,0.34,,2/27,
571,ADFA (Orange + Green),65.8,74.2,45.3,0.69,1 GAL,2/1/20,
572,HEWH (White),21,24.5,17.2,,,2/1/20,
573,ADFA (Orange + Green),55,71.5,21.75,1.43,2 GAL,2/7/20,
574,SAAP (White + Green),15,19,15,0.2,,2/15,
575,HEWH (White),23,39,19,,,2/15,
576,SANI (Orange + Yellow),23.5,22.3,28.4,,,2/5/20,
577,HEWH (White),23.5,27.3,28.4,,,2/5/20,
578,CEOL (Orange),14.8,8.2,7,0.18,,2/14,
579,CEOL (Orange),18.9,7.9,5.2,0.22,,2/14,
580,ENCA (Pink),30.1,15.3,11.7,,,2/27,no SD recorded
581,SANI (Orange + Yellow),7,11.1,10.9,0.27,,2/14,
582,RHOV (White + Pink),13.4,8.2,6.7,0.52,,2/5/20,
583,RHOV (White + Pink),16.8,10.8,10.7,0.36,,2/5/20,
584,SANI (Orange + Yellow),9.8,15.5,12.6,0.3,,2/14,
585,RHOV (White + Pink),,,,,,,already planted
586,HEWH (White),13.5,7.9,6.3,0.49,,2/6/20,
587,CEOL (Orange),9.4,9,5.6,0.18,,2/21,
588,SAME (Orange + Pink),7.75,5.25,5.75,0.26,,2/21,
589,SAME (Orange + Pink),4.5,4.5,4.3,0.2,,3/2,gopher
590,ENCA (Pink),40.1,8.8,8.2,0.37,,2/5/20,
591,CEOL (Orange),13.9,9.5,7.5,0.19,,2/6/20,
592,ADFA (Orange + Green),57.5,26.5,24,2.5,2 GAL,,
593,CEOL (Orange),10.7,7.4,6.5,0.22,,2/5/20,
594,CEOL (Orange),9.9,6.7,6.6,0.19,,2/5/20,
595,ENCA (Pink),25.5,40,12,0.389,,2/15,
596,ADFA (Orange + Green),41.5,57,37.3,0.5,1 GAL,2/1/20,
597,HEWH (White),24,54,9,,,2/15,
598,RHOV (White + Pink),,,,,,,already planted
599,SAME (Orange + Pink),17.9,5.9,5.1,0.42,,2/20,
600,CEOL (Orange),12.5,24,12,0.202,,2/15,
601,HEWH (White),31.1,24.5,12.1,,,2/15,
602,SAAP (White + Green),23.2,21.3,12,0.8,,2/14,
603,CEOL (Orange),,,,,,,already planted
604,SAME (Orange + Pink),3.9,18.1,8.5,0.37,,2/20/20,
605,RHOV (White + Pink),15,8,7,0.64,,2/1/20,
606,SAAP (White + Green),16.2,19,19.8,0.3,,2/14,
607,RHOV (White + Pink),13,10,9,0.4,,2/15,
608,ADFA (Orange + Green),54,38,25,1.45,2 GAL,2/15,
609,CEOL (Orange),15,8.5,6,0.2,,2/15,
610,MALA (White + Yellow),29.1,16.2,15.5,0.7,,2/14,
611,CEOL (Orange),17.5,10.4,8.6,0.29,,2/15,
612,RHOV (White + Pink),11.9,6,4.4,0.438,,,
613,RHOV (White + Pink),11.4,7,8,0.42,,2/1/20,
614,CEOL (Orange),19.5,9.4,6.9,0.27,,2/15,
615,HEWH (White),19.5,29.3,24.7,,,2/15,
616,SANI (Orange + Yellow),10.9,18.7,6.8,0.2,,2/15/20,
617,SAAP (White + Green),22,14,14,0.1,,2/15,
618,RHOV (White + Pink),13,9,10,0.18,,2/15,
619,ENCA (Pink),22.5,12.25,8,0.25,,2/7/20,
620,HEWH (White),22.1,39.4,24.3,,,2/15,
621,ENCA (Pink),34.4,13.2,11.5,0.35,,2/28,
622,SANI (Orange + Yellow),17.8,16.1,10.3,0.17,,2/15/20,already planted
623,RHOV (White + Pink),12.6,9.7,7.1,0.6,,2/6/20,
624,HEWH (White),40,32.5,20.4,,,2/28,
625,CEOL (Orange),12.4,9,7.8,0.1,,2/15/20,already planted
626,ADFA (Orange + Green),43.2,52.5,33,,2 GAL,2/20,
627,MALA (White + Yellow),15.1,18.2,12.7,0.17,,2/15/20,already planted
628,SANI (Orange + Yellow),14.8,19.6,15.3,0.39,,2/28,
629,HEWH (White),26.8,50.6,39.9,,,2/20,
630,SAME (Orange + Pink),7.8,4,3.4,0.19,,3/2,
631,RHOV (White + Pink),12.4,7.8,7.6,0.4,,2/6/20,
632,ENCA (Pink),49.8,10.2,9.9,0.32,,2/28,
633,CEOL (Orange),11.25,7.75,6.5,0.16,,,
634,CEOL (Orange),15,8.4,7.7,0.17,,2/28,
635,ENCA (Pink),27.5,6.25,7.25,0.35,,2/7/20,
636,ENCA (Pink),27.75,6.5,6,0.35,,2/7/20,
637,ENCA (Pink),32,4.5,1.5,0.333,,2/15,
638,CEOL (Orange),12,6,4,0.354,,2/15,
639,SAAP (White + Green),12,15,16,0.3,,2/15,
640,CEOL (Orange),11.8,9.8,9.4,0.18,,2/6/20,
641,CEOL (Orange),11.9,8.9,5.7,0.17,,2/6/20,
642,ENCA (Pink),15.4,12.7,9.2,0.32,,2/5/20,
643,RHOV (White + Pink),11.2,7.4,5.7,0.332,,2/1/20,
644,CEOL (Orange),19,8.8,8.4,0.19,,2/6/20,
645,HEWH (White),10,23,12,,,2/1/20,
646,RHOV (White + Pink),10.7,7.9,6.3,0.29,,2/1/20,
647,MALA (White + Yellow),46.5,18.3,16.4,0.46,,2/28,
648,RHOV (White + Pink),13,11,8,0.5,,2/1/20,
649,CEOL (Orange),15.9,11.8,9.8,0.3,,2/28,
650,RHOV (White + Pink),13.9,10.6,4.6,0.628,,2/1/20,
651,HEWH (White),18.5,40.1,18.7,,,2/5,
652,HEWH (White),22.7,47.5,35,,,2/5,
653,CEOL (Orange),17,10.3,9.4,0.28,,2/5,
654,SAME (Orange + Pink),5.5,4.2,3.3,0.21,,3/2,
655,HEWH (White),18.8,19.6,17.5,,,2/15/20,
656,SANI (Orange + Yellow),17.8,18.5,17.6,0.2,,2/15/20,
657,RHOV (White + Pink),10.4,8.8,8,0.421,,??,
658,ENCA (Pink),23.7,12.2,7.8,0.3,,2/5,
659,ADFA (Orange + Green),53.5,66,57,0.69,1 GAL ,2/4,
660,CEOL (Orange),13.2,7.3,7,0.2,,2/28,
661,CEOL (Orange),14.3,6.5,6.3,0.19,,2/28,
662,ADFA (Orange + Green),52.5,30.5,36.25,0.53,2 GAL,2/7/20,
663,MALA (White + Yellow),34.6,12.6,12.4,0.19,,2/15/20,
664,ENCA (Pink),25.8,8.5,7.2,0.28,,2/5,
665,ENCA (Pink),15.6,6,5.7,0.39,,2/5,
666,SANI (Orange + Yellow),13.8,14,12.6,0.3,,2/15/20,
667,CEOL (Orange),11.1,7.8,6.3,0.017,,2/3/20,
668,RHOV (White + Pink),9.9,6.5,5.4,0.4,,2/6/20,
669,ADFA (Orange + Green),60.5,53.3,22.4,,2 GAL,2/20/20,
670,SAME (Orange + Pink),18.3,6.4,7.5,0.5,,2/20/20,
671,CEOL (Orange),25.2,9.1,8.1,0.3,,2/20/20,
672,MALA (White + Yellow),20.3,19.4,15.5,0.27,,2/21/20,
673,ADFA (Orange + Green),61.4,43,24.4,0.26,2 GAL,2/28,
674,RHOV (White + Pink),17.3,10,7,0.75,,2/18/20,
675,SANI (Orange + Yellow),14.7,21,20.4,0.17,,2/15/20,
676,RHOV (White + Pink),14.6,11.5,6.4,0.52,,2/6/20,
677,SANI (Orange + Yellow),15.6,11.7,10.5,0.19,,2/15/20,"gopher hole, moved; also dumped double the amount of water into hole, put extra 250 of water on top"
678,ADFA (Orange + Green),55.75,43.5,34.25,2.5,2 GAL,2/7/20,
679,HEWH (White),24.8,33.6,18.4,,,2/21/20,
680,CEOL (Orange),8.1,5.8,3.9,0.19,,2/3/20,
681,SANI (Orange + Yellow),10.6,17.3,13.4,0.3,,2/15/20,
682,HEWH (White),19.2,40.9,24.4,,,2/15/20,
683,HEWH (White),17.4,36.2,33.6,,,2/21/20,
684,HEWH (White),20.7,42.6,17.2,,,2/21/20,
685,HEWH (White),13,25.9,21.8,,,2/21/20,
686,ENCA (Pink),28,11.3,9.8,0.37,,2/6/20,
687,CEOL (Orange),12.1,7.6,7.1,0.14,,2/21/20,
688,ENCA (Pink),9.1,33.4,7.7,0.3,,2/21/20,gopher
689,ENCA (Pink),29.2,7.6,6.4,0.32,,2/28,
690,HEWH (White),20.5,47.8,18.5,,,2/21/20,
691,SANI (Orange + Yellow),9.4,20.1,13.4,0.35,,2/21/20,
692,CEOL (Orange),5.8,6.4,5.9,0.16,,2/7/20,
693,RHOV (White + Pink),14.2,10,6.7,0.475,,2/1/20,
694,HEAR,15.6,18.2,11.6,0.44,,2/28,
695,CEOL (Orange),10.4,8.2,5.4,0.06,,2/7/20,
696,CEOL (Orange),7.4,6.8,5.9,0.101,,2/7/20,
697,HEWH (White),14.1,34.4,23.1,,,2/28,
698,ENCA CEOL (Pink),9.2,8.6,6.4,0.2,,2/20/20,
699,RHOV (White + Pink),16.1,10.5,9.4,0.625,,2/6/20,
700,RHOV (White + Pink),12.3,9.9,7.3,0.65,,2/6/20,
701,CEOL (Orange),13,9,8,0.183,,2/15/20,
702,SANI (Orange + Yellow),8.5,14.2,11.8,0.3,,2/14/20,
703,ENCA (Pink),11,30,23,0.2,,2/15/20,
704,RHOV (White + Pink),9.1,6.9,6.5,0.365,,2/1/20,
705,HEWH (White),22,44,31,,,4/15/20,
706,RHOV (White + Pink),13,8.7,5.6,0.621,,2/1/20,
707,SAAP (White + Green),11,11.75,12.4,0.35,,2/21,
708,SAAP (White + Green),12,12.75,10.6,0.41,,2/21/20,
709,ENCA (Pink),31.8,6.4,5.9,0.27,,2/5/20,
710,CEOL (Orange),14.3,8.4,8.3,0.09,,2/6/20,
711,MALA (White + Yellow),34.9,16,15.2,0.6,,2/14/20,
712,HEWH (White),28,35.5,24.5,1.7,,2/21/20,
713,ENCA (Pink),24,28.5,10.4,0.28,,2/6/20,
714,RHOV (White + Pink),14.8,9.7,7.4,0.53,,2/21/20,
715,ENCA (Pink),35.5,27.8,17.2,0.16,,2/6/20,
716,SAME (Orange + Pink),3.6,7,5.8,0.28,,3/2,
717,CEOL (Orange),14.25,7.5,6.6,0.2,,2/21/20,
718,SAAP (White + Green),11.25,5,3.6,0.27,,2/21/20,
719,RHOV (White + Pink),12.5,8.1,6.8,0.46,,2/6/20,
720,CEOL (Orange),9.8,4.8,4.25,0.18,,2/21/20,
721,RHOV (White + Pink),12.75,7.4,7.25,0.49,,2/21/20,
722,CEOL (Orange),11.3,9.2,6.8,0.19,,2/6/20,
723,RHOV (White + Pink),16.6,8.8,8.1,,,2/5/20,
724,ENCA (Pink),18.4,9.8,6.9,0.35,,2/5/20,
725,CEOL (Orange),10.5,9.1,8.2,0.18,,2/6/20,
726,CEOL (Orange),15.6,9.4,8.9,0.21,,2/6/20,
727,RHOV (White + Pink),12.1,9.6,7,0.432,,2/1/20,
728,CEOL (Orange),21.3,8.9,7.8,0.21,,2/6/20,
729,HEWH (White),18.3,37.5,25.6,,,2/5/20,
730,ENCA (Pink),21.6,9.3,5.4,0.4,,2/5/20,
731,HEWH (White),23.7,33.1,27.5,,,2/5/20,
732,CEOL (Orange),15.7,7.2,6.1,0.26,,2/6/20,
733,RHOV (White + Pink),11.4,8.6,6.4,0.54,,2/5/20,
734,RHOV (White + Pink),15.3,9.1,7.1,0.66,,2/5/20,
735,SANI (Orange + Yellow),4.75,4.4,3.4,0.3,,2/21/20,
736,ENCA (Pink),38.8,10.1,8.2,0.33,,2/6/20,
737,RHOV (White + Pink),11.75,10.25,8,0.52,,2/21/20,
738,CEOL (Orange),25,10.6,8.4,0.28,,2/21/20,
739,RHOV (White + Pink),17.4,8.75,8.75,0.46,,2/21/20,
740,RHOV (White + Pink),18.6,11.6,8.7,0.48,,2/6/20,
741,ENCA (Pink),30,7.4,6.25,0.44,,2/21/20,
742,HEWH (White),21.25,58.6,12,1.3,,2/21/20,
743,RHOV (White + Pink),16.2,10.4,8.8,0.45,,2/6/20,
744,CEOL (Orange),11.75,13,5.1,0.25,,2/21/20,
745,CEOL (Orange),7.75,6.4,2.8,0.2,,2/21/20,
746,MALA (White + Yellow),45.1,18.2,9.1,0.6,,2/14/20,
747,CEOL (Orange),6.1,5.2,4.5,0.19,,2/21/20,
748,SAAP (White + Green),16,10.4,9.75,0.5,,2/21/20,
749,RHOV (White + Pink),15.25,7.9,7.25,0.49,,2/21/20,
750,SANI (Orange + Yellow),13.5,11,10.5,0.8,,2/14/20,
751,ENCA (Pink),47.4,10.2,9.8,0.37,,2/6/20,
752,RHOV (White + Pink),10.9,11,9.6,0.5,,2/6/20,
753,CEOL (Orange),10.5,9.7,7.8,0.21,,2/6/20,
754,ENCA (Pink),9.8,4.9,4.4,0.39,,2/5/20,
755,SAAP (White + Green),,,,,,,already planted
756,SAAP (White + Green),,,,,,,already planted
757,CEOL (Orange),10.6,10.7,7,0.21,,2/6/20,
758,HEWH (White),22.7,48.8,23.8,,,2/5/20,
759,SAAP (White + Green),10.5,9.5,8,0.39,,2/28,
760,ENCA (Pink),40.8,10.2,9.7,0.36,,2/6/20,
761,HEWH (White),16.5,29,16.5,,,2/28,
762,HEWH (White),26.75,45.25,41.5,1.4,,2/21,
763,SANI (Orange + Yellow),12.9,19.4,14.2,0.28,,2/14/20,
764,MALA (White + Yellow),32.4,17,13.4,0.44,,2/20/20,
765,ADFA (Orange + Green),57,79,32,0.59,1 GAL ,2/4/20,
766,CEOL (Orange),21,12.4,7.6,0.35,,2/20/20,
767,HEWH (White),22.5,33,26.5,,,2/28,
768,ADFA (Orange + Green),33.25,44.75,33.5,0.95,1 GAL ,2/28,
769,CEOL (Orange),6.25,6.4,5,0.28,,2/28,
770,CEOL (Orange),12.5,6.9,3.9,0.28,,2/28,
771,RHOV (White + Pink),19.9,10.5,9.8,0.51,,2/6/20,
772,SAAP (White + Green),5.25,11.5,8.5,0.29,,2/21/20,
773,RHOV (White + Pink),18.2,9.3,8.7,0.45,,2/6/20,
774,CEOL (Orange),7.4,5.25,4.75,0.15,,2/21/20,
775,HEWH (White),22,37.5,23,,,2/28,
776,CEOL (Orange),8.2,6.2,5.7,0.118,,2/7/2020,Can't read what's written under 8.2
777,CEOL (Orange),8.7,6.4,4.8,0.1,,2/7/2020,
778,CEOL (Orange),8.2,7.4,6.9,0.208,,2/7/2020,
779,ADFA (Orange + Green),45,52.5,30,1.1,1 GAL ,2/7/20,
780,ADFA (Orange + Green),57,32.5,28,2.2,2 GAL,2/7/20,
781,HEWH (White),18.6,44.5,20.5,,,2/20/20,
782,CEOL (Orange),9.6,8.6,6.2,0.18,,2/6/20,
783,MALA (White + Yellow),32.1,22.8,11.7,0.37,,2/14/20,
784,ENCA (Pink),44.6,15.2,9.8,0.31,,2/6/20,
785,SAAP (White + Green),11.8,12.25,11,0.28,,2/28,
786,ADFA (Orange + Green),64.9,45.6,28.2,1.5,2 GAL,2/4/20,
787,RHOV (White + Pink),10.9,9.8,7.7,0.41,,2/6/20,
788,HEWH (White),18,44,10.75,,,2/28,
789,CEOL (Orange),11.3,2.5,7.4,0.11,,2/6/20,
790,SAAP (White + Green),14.25,5.75,5.25,0.28,,2/28,
791,CEOL (Orange),21,9.4,7.75,0.4,,2/21/20,
792,CEOL (Orange),9,6.25,6.25,0.18,,2/21/20,
793,HEWH (White),22.75,44,27.25,,,2/28,
794,ADFA (Orange + Green),57.4,78.2,54,0.75,1 GAL ,2/4/20,
795,ENCA (Pink),26.25,6.5,3.4,0.44,,2/21/20,
796,ENCA (Pink),11,9.9,7,0.41,,2/21/20,
797,CEOL (Orange),4.4,5.4,3,0.29,,2/28,
798,SAME (Orange + Pink),6.8,6.4,6.2,0.2,,3/3,
799,MALA (White + Yellow),33.1,21.2,16.4,0.45,,2/20/20,
800,ENCA (Pink),32.5,12,6.75,0.45,,2/28,
801,HEWH (White),30.5,23.6,16.6,,,1/30/2020,
802,HEWH (White),14.224,27.8,8.425,,,1/17/20,
803,ENCA (Pink),8.25,3.8,4,0.48,,2/20/20,
804,MALA (White + Yellow),35.8,17.2,15.7,0.5,,2/14/20,
805,ADFA (Orange + Green),44,37,34,0.62,1 GAL,2/28,
806,SAAP (White + Green),6.25,7.25,5.75,0.25,,2/28,
807,RHOV (White + Pink),16.25,7.5,6.2,0.35,,2/28,
808,HEWH (White),16,43.75,28,,,2/28,
809,CEOL (Orange),a:13.5 b:13.75,a:10.25 b:5.9,a:8.75 b:7.5,a:0.4 b:0.31,,a: 2/28 b: 2/28,2 sets of measurements
810,ENCA (Pink),49.4,21.6,16.8,0.33,,3/19,replant
811,SAME (Orange + Pink),5.9,4.6,4.4,0.2,,3/3,
812,HEWH (White),29.5,59.5,31.5,,,2/28,
813,SAAP (White + Green),11,8.25,6.5,0.27,,2/28,
814,ADFA (Orange + Green),62.9,34,27.5,1.42,2 GAL,2/4/20,
815,MALA (White + Yellow),22.8,13.4,7.7,0.15,,2/15/20,
816,CEOL (Orange),9.5,5.1,5,0.11,,2/20/20,"gopher, moved right"
817,HEWH (White),16.7,26.3,22.1,,,2/20/20,
818,HEWH (White),22,14.6,14.3,,,2/21/20,
819,ADFA (Orange + Green),45,52.9,43.8,0.75,1 GAL,,
820,SANI (Orange + Yellow),12.4,10.9,5.2,0.41,,2/18/20,
821,HEWH (White),15.2,36,28.5,,,2/28,
