ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
264,CEOL (Orange),,,,5/7,y,,,,,,,,,
265,ENCA (Pink),,,,5/7,y,,,,,,,,,
266,HEWH (White),,,,5/8,y,,,,,,,,,
267,SAAP (White + Green),,,,5/7,y,,,,,,,,,
268,CEOL (Orange),,,,5/7,n,,,,,,,,,
269,HEWH (White),,,,5/7,y,,,,,,,,,
270,HEWH (White),,,,5/7,y,,,,,,,,,
271,CEOL (Orange),,,,5/7,y,,,,,,,,,
272,RHOV (White + Pink),,,,5/7,np,,,,,,,,,
273,SAAP (White + Green),,,,5/7,y,,,,,,,,,
274,SAAP (White + Green),,,,5/7,y,,,,,,,,,
275,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
276,CEOL (Orange),,,,5/7,y,,,,,,,,,
277,ENCA (Pink),,,,5/7,y,,,,,,,,,
278,ENCA (Pink),,,,5/7,y,,,,,,,,,
279,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
280,RHOV (White + Pink),2/11,Y,"mostly buried, gopher activity",5/7,y,,,,,,,,,
281,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
282,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
283,SAAP (White + Green),,,,5/7,y,,,,,,,,,
284,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
285,ENCA (Pink),,,np,5/7,y,,,,,,,,,
286,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
287,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
288,CEOL (Orange),,,np,5/7,y,,,,,,,,,
289,RHOV (White + Pink),2/11,Y,,5/8,y,,,,,,,,,
290,CEOL (Orange),,,np,5/7,y,,,,,,,,,
291,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
292,RHOV (White + Pink),,,np,5/7,y,,,,,,,,,
293,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
294,SAAP (White + Green),,,,5/7,np,,,,,,,,,
295,ENCA (Pink),,,np,5/7,y,,,,,,,,,
296,HEWH (White),2/11,Y,"buried partially, gopher activity",,,,,,,,,,,
